feature,coefficient,abs_imp
ea,0.03498855887521585,0.03498855887521585
ry,-0.028729853999254037,0.028729853999254037
dim_272,0.02630336849491305,0.02630336849491305
hw,0.02584118768873302,0.02584118768873302
dim_282,0.02354739346583901,0.02354739346583901
dim_26,0.022919223371152257,0.022919223371152257
dim_622,0.021706554930580924,0.021706554930580924
cs,0.021422828556566353,0.021422828556566353
po,-0.0181150945646455,0.0181150945646455
up,-0.01770374775707951,0.01770374775707951
ng,0.016946685200515583,0.016946685200515583
dim_144,0.016431161544072783,0.016431161544072783
dim_662,0.013438985661091413,0.013438985661091413
dim_160,-0.013227106603931504,0.013227106603931504
dr,0.013169108555847667,0.013169108555847667
dim_9,-0.013139689066200444,0.013139689066200444
dim_630,0.011401725234245187,0.011401725234245187
dim_542,-0.010545694889574929,0.010545694889574929
dim_717,0.010108718417430431,0.010108718417430431
sr,0.00964522741331396,0.00964522741331396
dim_47,-0.009429155112286088,0.009429155112286088
pm,-0.008103184643387976,0.008103184643387976
fo,-0.007964833575485478,0.007964833575485478
u>,0.007884992973441647,0.007884992973441647
gn,0.007603625689857936,0.007603625689857936
dim_656,0.00751322349881966,0.00751322349881966
dim_333,0.0074199672786249725,0.0074199672786249725
uc,-0.0072030898670936315,0.0072030898670936315
dim_685,0.005940291713944098,0.005940291713944098
dim_320,-0.005777811927226795,0.005777811927226795
dim_73,-0.005748398795664323,0.005748398795664323
dim_610,0.0055837872927079965,0.0055837872927079965
cc,0.005229337154548251,0.005229337154548251
dim_385,0.005177979961644686,0.005177979961644686
dim_721,0.005138126441196587,0.005138126441196587
dim_84,-0.004990210113040723,0.004990210113040723
dim_221,0.00429709759654279,0.00429709759654279
dim_290,-0.004110284394880452,0.004110284394880452
dim_107,-0.0033854194219732035,0.0033854194219732035
dim_82,-0.003355642327172799,0.003355642327172799
dim_120,-0.0028891895048749807,0.0028891895048749807
cl,0.0028014921525494636,0.0028014921525494636
mk,0.002460178671194569,0.002460178671194569
zn,-0.002102825247287472,0.002102825247287472
dim_264,0.0019585813913606948,0.0019585813913606948
<d,-0.0015924108962484381,0.0015924108962484381
dim_303,0.0015693728852694986,0.0015693728852694986
ne,-0.0011612325961755303,0.0011612325961755303
dim_715,0.0009605402908047597,0.0009605402908047597
dim_267,0.0004275821746323454,0.0004275821746323454
dim_141,-0.00030741983014202366,0.00030741983014202366
dim_7,-6.047908408841875e-05,6.047908408841875e-05
