feature,coefficient,abs_imp
dim_315,0.08352756242114764,0.08352756242114764
dim_389,0.04625041367586082,0.04625041367586082
dim_276,-0.04437693285349739,0.04437693285349739
bs,-0.03965067677668519,0.03965067677668519
dim_108,-0.03790206055352754,0.03790206055352754
un,-0.030506970575643923,0.030506970575643923
dim_316,0.02733448518929511,0.02733448518929511
dim_282,-0.02608582525653904,0.02608582525653904
dim_73,0.025655527472865522,0.025655527472865522
dim_272,-0.024879985490937975,0.024879985490937975
dim_693,0.024084136380778665,0.024084136380778665
dim_147,0.023489154774721258,0.023489154774721258
dim_351,-0.022384565236790718,0.022384565236790718
dim_158,0.022162312635858567,0.022162312635858567
ri,0.019464724647653316,0.019464724647653316
dim_559,-0.01833966147166624,0.01833966147166624
dim_175,-0.015757297294157098,0.015757297294157098
dim_258,0.015549639430217876,0.015549639430217876
dim_107,0.014456093195129116,0.014456093195129116
dim_301,0.013794853374064879,0.013794853374064879
dim_138,-0.013580959857258764,0.013580959857258764
z,0.013510437004959928,0.013510437004959928
kw,0.013441736653517736,0.013441736653517736
dim_590,-0.013210494565185693,0.013210494565185693
dim_685,-0.01242361111071006,0.01242361111071006
dim_9,0.012069369860225646,0.012069369860225646
fw,0.011944055933775132,0.011944055933775132
ja,-0.011539023081217039,0.011539023081217039
mj,0.011427878567800026,0.011427878567800026
cs,-0.010920592915828366,0.010920592915828366
dim_262,0.010891592746225198,0.010891592746225198
dim_516,-0.010460934830948836,0.010460934830948836
mk,-0.010452423951290027,0.010452423951290027
dim_17,0.010363380531803242,0.010363380531803242
lu,-0.010331230753112656,0.010331230753112656
dim_148,0.01017501949316267,0.01017501949316267
dim_630,-0.009869320522938227,0.009869320522938227
dim_296,-0.009671751477146077,0.009671751477146077
dim_91,-0.009530067433716606,0.009530067433716606
dim_579,0.009469275455333926,0.009469275455333926
dim_143,0.00936322350625527,0.00936322350625527
po,0.008920628522916274,0.008920628522916274
dim_63,0.008882342555455388,0.008882342555455388
dim_545,0.008455900707090944,0.008455900707090944
dim_458,-0.0080769473981823,0.0080769473981823
dim_248,-0.00791840586033272,0.00791840586033272
<v,-0.007608554703966988,0.007608554703966988
dim_19,0.007172793428666921,0.007172793428666921
dim_214,-0.00666962981284821,0.00666962981284821
dim_729,0.006425460853182077,0.006425460853182077
dim_561,-0.006085110838588019,0.006085110838588019
on,-0.005747502821541974,0.005747502821541974
dim_277,-0.005310915711396439,0.005310915711396439
dim_255,-0.004580130745032137,0.004580130745032137
op,-0.004496151430088743,0.004496151430088743
dim_263,-0.004204421877830802,0.004204421877830802
dim_536,-0.004003707861608298,0.004003707861608298
dim_388,0.003932195935352948,0.003932195935352948
ea,-0.003774430732763785,0.003774430732763785
dim_244,0.003545977944683359,0.003545977944683359
ph,-0.003129902804491101,0.003129902804491101
dim_328,0.0031148390619083334,0.0031148390619083334
dim_650,-0.0028464550441054076,0.0028464550441054076
dim_61,-0.002744493762012966,0.002744493762012966
dim_37,0.002542738318762338,0.002542738318762338
dim_677,-0.002442822445927259,0.002442822445927259
dim_400,-0.002365540140115849,0.002365540140115849
ko,-0.0022100316882498034,0.0022100316882498034
rg,-0.0020531923377195226,0.0020531923377195226
nn,-0.0018180251773820095,0.0018180251773820095
gu,0.0015685300246061982,0.0015685300246061982
y>,0.0014829259726202898,0.0014829259726202898
rt,-0.0011606239984215873,0.0011606239984215873
dim_179,-0.0009548613864494975,0.0009548613864494975
<w,-0.0008271910706091597,0.0008271910706091597
dim_766,0.0006898303507781512,0.0006898303507781512
nq,-0.00041602845881525975,0.00041602845881525975
dim_651,-0.00011533777117196754,0.00011533777117196754
