feature,coefficient,abs_imp
<a,-0.045573912870535124,0.045573912870535124
dim_282,-0.03935667768847688,0.03935667768847688
dim_73,0.038068527602660926,0.038068527602660926
yt,-0.036647390955067305,0.036647390955067305
dim_84,0.030570260006068446,0.030570260006068446
tw,-0.029015090916595963,0.029015090916595963
dw,0.0213672724378523,0.0213672724378523
dim_272,-0.018928665124574518,0.018928665124574518
dim_7,0.018727392801030557,0.018727392801030557
hw,-0.017060152515517096,0.017060152515517096
ei,0.016853399384521014,0.016853399384521014
dim_277,-0.01507052516133034,0.01507052516133034
nl,0.01442209437572102,0.01442209437572102
mk,-0.013161290697367033,0.013161290697367033
dim_147,0.012801192686372791,0.012801192686372791
dim_622,-0.011865080209109934,0.011865080209109934
dim_570,-0.011175360424152913,0.011175360424152913
dim_109,-0.010671068237556596,0.010671068237556596
ry,0.010563462252938333,0.010563462252938333
dim_389,0.009829512066944813,0.009829512066944813
dim_148,0.009761031184546711,0.009761031184546711
dim_685,-0.008768586860794693,0.008768586860794693
dim_185,-0.008623627430364315,0.008623627430364315
dim_613,-0.008508864785673535,0.008508864785673535
dim_77,-0.008330021344026505,0.008330021344026505
dim_601,-0.007830795157854196,0.007830795157854196
dim_640,-0.007601637074869372,0.007601637074869372
dim_19,0.0075544754485784,0.0075544754485784
lv,0.007243414052258901,0.007243414052258901
u,0.007159013550875035,0.007159013550875035
dim_374,-0.006996110381449793,0.006996110381449793
dim_505,-0.005709508835720504,0.005709508835720504
dim_610,-0.00470322125951063,0.00470322125951063
nh,-0.0037552296044806887,0.0037552296044806887
dim_761,0.0034276959374198094,0.0034276959374198094
dim_191,0.003117126553128594,0.003117126553128594
bt,-0.0024801818659427703,0.0024801818659427703
dim_144,-0.002392984195081992,0.002392984195081992
ca,-0.002285210543049933,0.002285210543049933
dim_402,0.002165664568341229,0.002165664568341229
dim_590,-0.001732503100562201,0.001732503100562201
