feature,coefficient,abs_imp
k,0.08815987637652437,0.08815987637652437
u,0.0710046647026356,0.0710046647026356
p,0.06424089045818182,0.06424089045818182
j,0.06396240443555479,0.06396240443555479
f,0.05668370384190546,0.05668370384190546
y,0.049992676139655794,0.049992676139655794
s,0.046608973690535065,0.046608973690535065
h,0.04048093381689298,0.04048093381689298
z,0.03929274781110615,0.03929274781110615
c,0.03807899811345543,0.03807899811345543
r,0.022967272871936877,0.022967272871936877
g,0.020313505486224105,0.020313505486224105
t,0.019779135791751015,0.019779135791751015
e,-0.01925518830074519,0.01925518830074519
d,0.014846669698267596,0.014846669698267596
n,0.014071866185046213,0.014071866185046213
w,-0.01407093981316233,0.01407093981316233
l,0.013626742512891511,0.013626742512891511
b,0.012340755167649433,0.012340755167649433
o,0.011689633629035022,0.011689633629035022
m,0.00927991661616198,0.00927991661616198
x,0.008907318884951696,0.008907318884951696
q,0.002199042963281494,0.002199042963281494
