feature,coefficient,abs_imp
k,-0.1434384266848688,0.1434384266848688
b,-0.14184688736328968,0.14184688736328968
a,0.14042689947609255,0.14042689947609255
t,-0.11815885384527769,0.11815885384527769
p,-0.10874916623205999,0.10874916623205999
o,-0.09707212172450909,0.09707212172450909
j,-0.07226869995588303,0.07226869995588303
n,-0.07078644109103528,0.07078644109103528
u,-0.06820485750217843,0.06820485750217843
h,-0.06696576337866386,0.06696576337866386
f,-0.04747391625937291,0.04747391625937291
i,0.0439804689909696,0.0439804689909696
d,-0.042845869102132526,0.042845869102132526
g,-0.03988239151837853,0.03988239151837853
r,-0.0341192370031852,0.0341192370031852
e,0.032445613005489676,0.032445613005489676
y,-0.0323249755617603,0.0323249755617603
x,-0.026803753868658683,0.026803753868658683
c,-0.020531610287489562,0.020531610287489562
v,0.018110087458099014,0.018110087458099014
l,-0.017805049748929557,0.017805049748929557
w,-0.01614354281631548,0.01614354281631548
z,0.0014213431917456606,0.0014213431917456606
