feature,coefficient,abs_imp
k,-0.06626961770952117,0.06626961770952117
p,-0.06552675301278807,0.06552675301278807
i,0.05892416979278238,0.05892416979278238
w,-0.05328497675103605,0.05328497675103605
u,-0.04663178827992799,0.04663178827992799
f,-0.042413698408944385,0.042413698408944385
b,-0.037250066112092445,0.037250066112092445
m,-0.03319809616525114,0.03319809616525114
e,0.02583688155530054,0.02583688155530054
d,-0.023990405029243995,0.023990405029243995
r,-0.02278624375296463,0.02278624375296463
z,-0.021960350294022917,0.021960350294022917
j,-0.020984589089784633,0.020984589089784633
y,-0.016587770212321683,0.016587770212321683
q,-0.01628187792039781,0.01628187792039781
t,-0.013457907932525829,0.013457907932525829
g,-0.009648249642850387,0.009648249642850387
a,0.009192894559405898,0.009192894559405898
s,-0.004816975802152101,0.004816975802152101
h,0.002069732259982019,0.002069732259982019
c,0.0008945400570748498,0.0008945400570748498
l,0.00027646568277527256,0.00027646568277527256
