trait,features,hidden_layers,alpha,valid_r2,train_r2,train_mse,valid_mse,test_r2,test_mse
feminine,unigram,"(100,)",100,0.15395838099028936,0.06735118632751658,0.7758179219046997,0.27380764072347463,0.11012319587367159,0.2342463211883647
feminine,bigram,"(200,)",100,0.19057455209993324,0.4950486285159986,0.42004055325503925,0.2619574111383228,0.22907608988798567,0.20293380951443768
feminine,robbert,"(100,)",1000,0.014113964528400635,0.13886721648920797,0.7163277718186875,0.31906601676483265,0.08276924827680143,0.24144682530852438
feminine,combined,"(200,)",10,-0.14091015145275643,0.9261006290474365,0.06147271680615213,0.36923705622471964,0.027240925145323724,0.2560637985288544
evil,unigram,"(20,)",10,0.12261479600374614,0.20546798745650663,0.12956108125830096,0.09723781861450398,0.11013484281097996,0.07869119776152837
evil,bigram,"(20,)",100,0.05760425847798345,0.4370663460181591,0.09179528544494119,0.10444273023960189,0.02314014365716832,0.08638418025445133
evil,robbert,"(40,)",1000,0.02706655757830012,0.18675004011339247,0.13261334027168722,0.107827126748071,0.04397209225066634,0.08454200116328735
evil,combined,"(200,)",10,-0.23207949098731628,0.8991579562990384,0.016443899065021278,0.13654746115799163,-0.3008810213861173,0.11503752550721522
trustworthy,unigram,"(100,)",100,0.0773797964242926,0.02908269985000722,0.08463937112183441,0.13262424518829938,-0.0030378756853890465,0.12561224070201943
trustworthy,bigram,"(100,)",1000,0.0006221531027197358,0.005830073830875415,0.0866664105441276,0.14365795599205478,0.00019634022793912909,0.1252072140149567
trustworthy,robbert,"(100,)",1000,0.004389002021331523,0.12305490814495623,0.07644737720867024,0.14311648129571375,-0.008794940501000159,0.1263332083034288
trustworthy,combined,"(20, 20)",10000,0.013769583622244452,-0.009544620029182438,0.08800669402584639,0.1417680471844438,-0.0003019560087000883,0.12526961655062852
smart,unigram,"(100,)",100,0.2319472407553277,0.08745804799923929,0.10866045449983491,0.0842111786450038,-0.14560232484917113,0.13028755035729034
smart,bigram,"(100,)",100,0.043391888758116726,0.2508130912718095,0.08920903836721761,0.10488484753088098,0.01783428888679972,0.11170016136508151
smart,robbert,"(20,)",1000,0.014701075702773458,0.1388595279221061,0.10253985022719082,0.10803057828256785,0.011882981826891292,0.11237699415551916
smart,combined,"(200,)",10000,0.003083083928223651,0.0024544825911372303,0.11878220948446834,0.1093044032497289,0.0004489967033769471,0.11367736329780465
